Seq;CPF;Nome;Sexo;DataNasc;CodReg;CodMunic;CategProf;AnosEstudo;AnosEmprego;Sal‡rio;Altura (cm);Peso (kg);Fuma (1=sim, 0=n‹o)
4586;853126070-10;Terezinha Lopes Miranda;F;22/09/67;100;103;A;4;12;1.138;148;60;1
4587;083829943-18;Dagoberto B. Torelli;M;21/04/79;100;103;C;16;6;8.879;168;83;0
4588;624647337-76;Florinda Zainne Pereira;F;31/10/73;100;103;A;4;10;1.102;151;61;0
4589;693705835-72;Betânia Silva Rigoni;F;05/12/71;100;103;C;16;6;9.231;160;71;0
4590;071546230-04;Abílio Pitanga Silva;M;13/04/56;100;103;A;7;13;1.174;178;110;1
4591;429970693-51;Eliana R. Toguchi;F;20/09/64;100;103;A;4;18;1.244;145;64;1
4592;599554919-73;Priscilla Coutinho Warwasky;F;18/02/66;100;103;A;5;11;1.084;168;90;1
4593;389064863-08;Fábio S. Nascimento;M;06/07/81;100;103;B;12;2;7.636;169;70;1
4594;012976938-09;Cantídio M. Fozxy;M;01/01/18;100;103;D;13;5;5.159;201;95;1
4595;755724801-50;Jairo Soares Queiroga;M;13/03/80;100;103;D;12;9;5.116;173;77;1
4596;555760637-83;Carina M. Gouveia;F;11/06/63;100;103;B;12;19;2.324;154;57;0
4597;991402434-35;Eufrásio Pontes Aramizoni;M;10/06/67;100;103;A;4;9;1.099;192;93;1
4598;238598868-27;Eufrásia Ramos Mancini;F;01/06/64;100;103;A;8;8;996;155;82;0
4599;861293664-00;Giovanna N. Yamamoto;F;07/03/63;100;103;C;16;18;5.929;168;60;0
4600;246504193-28;Walter Reis Zainne;Masc.;03/09/63;100;103;A;4;17;1.296;164;94;0
4601;565507812-05;Cláudio B. Faraggi;M;11/09/64;100;103;D;13;11;6.169;196;78;1
4602;236396297-44;Nívea Alves;F;18/12/68;100;103;E;16;12;3.226;152;55;0
4603;784238952-70;Otílio Gouveia Gomes;M;15/09/69;100;103;B;12;9;2.012;176;75;1
4604;329545855-36;Marcílio B. Pontes;M;15/11/56;100;103;A;5;16;1.204;173;105;0
4605;420407980-64;Janaina Santana;F;18/02/69;100;103;E;18;6;3.150;176;59;0
4606;735736202-72;Rita G. Sá;F;26/01/82;100;103;B;13;5;2.118;172;82;0
4607;142094300-64;Roberto Cunha Uema;Masc.;16/11/60;100;103;C;16;21;9.178;192;101;0
4608;504086095-16;Mariane Santos Medeiros;F;22/09/67;100;103;A;7;16;1.132;164;91;0
4609;833378225-68;Fernando S. Ledesma;M;20/09/75;100;103;A;6;8;1.007;168;81;0
4610;874702487-90;Hugo M. Weltsel;M;15/02/66;100;103;D;12;10;6.269;195;78;0
4611;215140657-11;Aurélio Santos Faraggi;Masc.;28/08/69;100;103;C;16;8;8.262;160;63;1
4612;898404709-06;Oscar M. Mendes;M;06/02/71;100;103;C;16;10;6.817;160;67;1
4613;665156100-68;Doralice G. Morbick;F;17/02/55;100;103;B;15;10;2.086;147;68;1
4614;929182054-78;Marcondes A. Heckmann;M;26/06/69;100;103;A;4;11;1.170;192;83;1
4615;;Valter Gomes;M;03/02/62;100;103;A;4;10;1.122;167;81;0
4616;080936108-63;Dora Ledesma Warwasky;F;12/11/71;100;103;A;4;10;1.165;165;55;0
4617;766467289-92;Fábia Ferraz;F;11/04/74;100;103;E;19;5;3.241;163;63;1
4618;783738607-89;Eduardo Leite Souza;M;17/08/62;100;103;D;12;10;5.524;177;87;1
4619;932080074-00;Marcondes Marques Toguchi;M;18/11/65;100;103;D;12;14;6.078;177;84;0
4620;265821790-04;Heráclito Barbosa Silva;Masc.;31/10/64;100;103;C;18;10;7.062;185;81;0
4621;279996657-89;Guilherme Melo Campos;Masc.;02/06/56;100;103;D;15;20;6.123;171;78;1
4622;443396717-38;Marília N. Seixas;F;13/04/66;100;103;A;7;16;1.104;167;75;1
4623;275692872-07;Eliane Pontes;F;12/06/59;100;103;C;16;13;7.724;164;66;0
4624;191930213-13;Cantídio Pitanga;Masc.;10/02/54;100;103;B;12;20;2.191;177;75;1
4625;502647271-00;Sebastião Cordeiro Torelli;M;09/07/62;100;103;B;12;16;2.148;189;78;1
4626;315700926-56;Regina M. Andrade;F;06/04/79;100;103;D;12;3;4.539;182;72;0
4627;214695171-08;Carina Leal Moura;F;22/09/57;100;103;E;18;20;3.510;158;62;0
4628;689330543-59;Maria L. Schineider;F;25/10/74;100;103;E;17;8;3.194;167;75;0
4629;468284057-65;Ricardo F. Maia;M;27/04/77;100;103;C;18;10;8.720;175;63;0
4630;604032467-84;Cleide A. Morbick;F;17/06/68;100;103;A;4;16;1.179;152;67;1
4631;915894659-46;Zélia S. Guimarães;F;31/01/68;100;103;A;4;7;1.099;163;73;0
4632;680869473-78;Teutônio Castro;M;06/08/66;100;103;B;14;8;2.073;178;99;1
4633;697625155-36;Tatiana Medeiros Angelini;F;05/10/65;100;103;A;4;14;1.215;158;74;1
4634;863437923-09;Manoel Fonseca;M;18/09/68;100;103;A;4;14;1.168;188;95;1
4635;387296696-00;Berenice T. Mesquita;F;14/08/75;100;103;C;16;5;8.389;169;71;1
4636;694257759-66;Ricardo Miranda Aramizoni;F;05/02/73;100;103;B;16;5;1.832;154;76;0
4637;634655931-11;Paula P. Heckmann;F;20/09/60;100;103;A;4;17;1.110;163;90;0
4638;363266211-86;Cleide Maia Trentti;F;06/02/74;100;103;B;14;13;1.873;151;64;0
4639;032690095-00;Zuleica Pinto Nogueira;Fem.;18/10/84;100;103;B;12;4;2.102;154;60;0
4640;681599245-42;Dagoberto B. Verdinn Pereira;F;08/03/53;100;103;E;16;15;3.398;169;78;0
4641;161503674-10;Clotilde R. Zarin;F;22/11/69;100;103;A;4;12;1.072;161;79;1
4642;737245411-55;Eustáquio S. Barbosa;M;03/04/76;100;103;A;4;9;1.145;175;73;0
4643;313923170-96;Ofélia M. Furkin;F;22/07/64;100;103;B;12;17;2.208;153;75;1
4644;049874252-03;Silvana M. Aguiar;F;31/10/65;100;103;A;4;12;1.171;159;72;1
4645;874030190-75;Dagoberto P. Gatty;M;17/11/78;100;103;C;16;4;6.999;158;67;1
4646;860693020-28;Eustáquio L. Campos;M;19/12/55;100;103;A;6;17;1.073;170;87;0
4647;936263480-59;Joaquim F. Zainne;M;26/07/60;100;103;C;20;19;7.486;166;96;1
4648;198284878-29;Ernesto Souza Teixeira;Masc.;15/07/65;100;103;B;12;15;2.321;190;79;1
4649;678234369-06;André S. Lemos;M;11/09/64;100;103;D;14;17;5.609;181;76;1
4650;339280312-01;Oscar Almeida Seixas;M;16/12/72;100;103;B;12;8;2.155;177;93;1
4651;068973360-76;Eufrásio C. Moura;M;01/01/00;100;103;D;13;12;5.068;192;85;1
4652;511572735-80;Damião Macieira;M;14/04/82;100;103;D;12;5;5.332;182;72;1
4653;311418028-05;Isabel Alves;F;16/01/75;100;103;A;4;4;1.049;163;68;0
4654;418564496-53;Antonia M. Warwasky;F;04/12/64;100;103;B;12;18;2.188;154;57;0
4655;787339483-21;Eduardo M. Faraggi;M;19/04/76;100;103;D;12;6;5.042;174;79;0
4656;828599181-40;Renato A. Novaes;M;24/06/76;100;103;B;15;9;1.891;163;82;0
4657;223619469-20;Germano Santana Mendes;Masc.;20/05/75;100;103;A;4;0;1.029;173;80;0
4658;858907947-36;Renata L. Bezerra;F;29/01/81;100;103;E;16;7;3.075;154;57;1
4659;221447463-38;Amauri A. Aguiar;Masc.;21/01/66;100;103;A;4;12;1.147;162;93;1
4660;940224125-69;Lomanto Cordeiro Miranda;M;26/12/77;100;103;D;12;3;5.098;182;65;1
4661;552765785-32;João A. Santana;M;19/02/71;100;103;A;4;10;1.119;182;90;0
4662;376212458-24;Roberto T. Almeida;M;04/03/50;100;103;D;12;28;6.086;178;83;1
4663;766431323-63;Damião Coutinho Rosa;M;18/04/70;100;103;E;16;13;3.745;177;67;0
4664;093321072-89;Valdir Gomes Leite;M;27/08/55;100;103;A;4;12;1.194;171;78;0
4665;;Esmeralda Holtz;F;24/01/75;100;103;B;12;11;2.134;174;67;1
4666;947259298-83;Clarice C. Cruz;F;18/03/68;100;103;A;4;12;1.172;168;89;1
4667;362778193-72;Melissa M. Novelli;F;28/10/71;100;103;A;4;6;1.096;163;57;0
4668;279202942-07;Joana W. Aguiar;F;04/04/59;100;103;C;16;9;8.495;148;56;0
4669;843139202-93;Pedro T. Angelini;M;02/07/63;100;103;D;13;18;4.968;185;90;0
4670;570133227-68;Clotilde L. Verdinn;F;07/11/63;100;103;E;16;7;3.116;148;61;0
4671;763288704-00;Fábia Maia;F;20/03/67;100;103;C;17;15;8.549;153;60;1
4672;126169210-14;Terezinha Pinheiro;F;20/11/59;100;103;D;13;9;5.909;174;67;0
4673;370723448-70;Abigail F. Santos;F;24/02/68;100;103;B;12;0;1.844;154;61;1
4674;637279044-02;Élida Duarte;F;22/04/51;100;103;C;16;20;8.879;158;67;0
4675;906916826-07;Priscila C. Nakano;F;08/11/69;100;103;C;16;15;7.689;162;68;0
4676;819941679-39;Juliana C. Zainne;F;22/07/79;100;103;A;4;8;1.049;158;76;1
4677;036391337-81;Olga Mendes Weltsel;Fem.;30/09/64;100;103;A;4;19;1.231;160;85;0
4678;423012557-78;Nívea F. Lemos;F;14/05/68;100;103;A;9;16;1.053;162;68;1
4679;551521784-51;Luiz G. Weltsel;M;17/09/71;100;103;C;16;6;6.472;181;68;1
4680;224163644-48;Isabela M. Pinto;F;03/10/58;100;103;E;17;16;3.417;153;60;0
4681;739696364-85;Mariana M. Pereira;F;25/06/77;100;103;A;4;7;1.046;162;57;0
4682;360622714-02;Isabela Campos;F;27/11/69;100;103;B;12;0;2.050;163;59;0
4683;681683258-26;Gilberto Rodrigues Queiroga;M;06/02/72;100;103;A;4;6;1.015;175;76;0
4684;964006833-05;Eufrásia Vieira Leite;F;02/11/64;100;103;A;4;13;1.151;157;80;0
4685;919686648-90;Clarice L. Rigoni;F;06/06/63;100;103;C;16;9;6.363;149;61;1
4686;581452559-29;Dagoberto Lima Lourenço;M;02/01/83;100;103;B;13;0;1.842;154;75;0
4687;646291482-30;Abílio Marques Gatty;M;21/09/61;100;103;A;4;11;1.093;152;92;1
4688;538213988-17;Eleno P. Furkin Pereira;M;22/12/70;100;103;B;13;5;2.159;185;86;0
4689;951842719-45;Mirtes Aramizoni Gatty;F;06/09/62;100;103;E;16;13;3.616;164;58;0
4690;796076980-02;Eufrásio N. Barbosa;M;27/10/62;100;103;C;16;8;5.690;184;88;1
4691;485792900-74;Janaina Seixas Sasaky;F;26/01/67;100;103;B;12;11;2.280;165;65;0
4692;815167482-20;Esmeralda M. Lemos;F;22/10/73;100;103;E;18;5;3.147;160;75;0
4693;405254338-64;Mariane Teixeira Gonçalves;F;01/01/79;100;103;A;4;4;1.060;164;78;0
4694;261288231-65;Silvana Werneck Verdinn;F;04/07/66;100;103;C;19;13;8.746;160;64;0
4695;532090178-08;Patrícia A. Furkin;F;20/08/73;100;103;A;7;5;1.053;157;77;1
4696;113414282-06;Amauri Aguiar Haddad;M;28/07/62;100;103;B;12;17;2.477;180;85;0
4697;431330250-66;Rui Sá Angelini;M;23/01/66;100;103;C;16;14;8.146;181;90;0
4698;194617886-14;David Mendes;Masc.;02/04/70;100;103;B;12;16;2.390;176;66;0
4699;656671526-65;Dijalma Campos Ledesma;M;30/04/65;100;103;A;4;12;1.087;172;94;1
4700;966667716-48;Lúcio S. Queiroga;M;09/06/59;100;103;D;12;20;7.026;193;91;1
4701;680317573-13;Cristiano R. Iawata;M;23/12/60;100;103;D;12;19;6.249;179;78;1
4702;183293106-47;Doralice N. Kalil;F;16/07/71;100;103;B;15;8;2.108;166;78;1
4703;187562828-26;Kátia Gonçalves Reis;F;10/10/72;100;103;A;4;14;1.166;150;58;0
4704;552225078-07;Alexandre M. Pinheiro;M;01/09/74;100;103;C;16;6;6.338;191;84;0
4705;399296871-57;Helena O. Haddad;F;20/08/59;100;103;C;19;20;8.518;159;67;1
4706;570171983-95;Neide Pinto;F;08/09/78;100;103;B;12;2;1.903;155;62;1
4707;684475857-00;Vera Uema;F;10/06/62;100;103;A;7;11;1.203;168;71;0
4708;757279736-94;Berenice Maia Saldanha;F;16/06/57;100;103;D;14;17;6.069;163;66;0
4709;724593755-90;Getúlio R. Holtz;M;29/06/57;100;103;A;4;12;1.044;175;90;1
4710;938044138-03;Dijalma Lemos Souza;M;23/01/73;100;103;A;4;6;1.062;157;73;0
4711;958852384-21;Walter B. Ledesma;M;16/06/76;100;103;C;19;11;7.384;163;67;0
4712;696876355-92;André A. Uema;M;23/07/83;100;103;B;14;2;2.066;158;65;0
4713;623518666-57;Abílio Mota Angelini;M;18/06/72;100;103;A;5;8;1.177;166;95;0
4714;691756533-46;Walter Teixeira;M;18/04/53;100;103;C;16;19;7.211;177;89;0
4715;556217430-83;Mirtes L. Morita;F;22/06/67;100;103;B;13;13;2.374;158;63;0
4716;626004458-54;Mauro Vieira;M;01/11/72;100;103;D;13;4;6.225;173;80;0
4717;413776105-19;Marina Cruz Faraggi;F;21/02/63;100;103;B;12;16;2.122;158;70;1
4718;067841459-92;Abílio G. Coutinho;M;19/11/65;100;103;A;5;17;1.109;180;106;1
4719;891316234-25;Heleno R. Morbick;M;17/12/62;100;103;A;6;14;1.089;173;91;0
4720;516875146-66;Américo Iawata Rigoni;M;29/08/78;100;103;D;12;9;4.008;185;82;1
4721;761726383-00;Josué B. Aroeira;M;30/09/67;100;103;B;12;14;2.127;165;65;0
4722;024715855-07;Heráclito G. Arantes;M;11/03/58;100;103;A;4;9;1.076;173;103;0
4723;;Juliana Holtz Mancini;F;23/05/73;100;103;C;16;4;7.076;151;48;0
4724;753476325-85;Eva L. Aramizoni;F;19/07/60;100;103;A;7;8;1.019;159;71;1
4725;521368214-66;Fabiana Vieira Moraes;F;04/06/67;100;103;A;4;11;1.139;149;75;0
4726;;Cícero R. Leite;F;25/07/56;100;103;A;4;11;1.159;166;86;1
4727;533903546-89;Neide M. Lopes;F;18/01/69;100;103;C;17;14;9.229;162;72;0
4728;475096525-10;Eunice Campos Cunha;F;03/06/74;100;103;A;4;11;1.177;159;81;1
4729;495123111-51;Eustáquio G. Bayochi;M;03/10/71;100;103;B;14;7;2.003;172;90;0
4730;627107870-24;Gino V. Leal;M;19/10/64;100;103;D;12;16;6.376;191;80;1
4731;820372398-58;Vera N. Verdinn;F;01/06/70;100;103;A;5;5;1.027;166;83;1
4732;177574694-14;Luiz Santos Iawata;Masc.;09/02/73;100;103;D;12;13;5.916;195;81;1
4733;758721301-55;Marisa R. Mancini;F;24/10/60;100;103;D;14;15;5.514;174;68;0
4734;599181726-06;Adalberto M. Nogueira;M;02/01/74;100;103;D;12;6;6.121;200;79;0
4735;933894123-01;Priscila Sá;F;18/07/75;100;103;C;16;6;6.282;168;74;0
4736;458800445-05;Felipe L. Holtz;M;19/04/83;100;103;A;5;1;915;161;86;1
4737;501270608-04;Nívea Rosa Gatty;F;06/11/65;100;103;A;4;10;1.124;172;95;1
4738;671313775-03;Mariana G. Morita;F;23/01/69;100;103;E;16;16;3.012;157;66;1
4739;207408386-60;Hugo Sampaio;Masc.;13/07/81;100;103;A;6;5;1.010;182;86;1
4740;965316490-20;Marcondes Pontes Lopes;M;14/10/66;100;103;B;12;14;2.230;162;72;0
4741;817518960-64;Josué Camargo Duarte;M;29/12/77;100;103;D;13;7;5.228;186;77;0
4742;621679087-09;Herval Almeida Gatty;M;06/09/70;100;103;B;12;9;2.147;177;75;1
4743;940672992-06;Olga M. Moura;F;17/06/59;100;103;C;16;16;8.652;155;69;1
4744;788186874-09;Fabrício Alves Silva;M;04/05/64;100;103;D;12;12;5.897;189;79;1
4745;543606195-88;João Barros Rosa;M;17/05/61;100;103;D;12;17;6.033;181;73;0
4746;775675810-27;Cleide S. Queiroga;F;13/07/68;100;103;A;4;11;1.106;161;58;1
4747;835927133-02;Victor Barbosa;M;18/11/67;100;103;A;4;0;1.007;158;88;0
4748;925158689-67;Roberta P. Castro;F;03/06/73;100;103;B;12;7;1.992;152;69;1
4749;845322762-41;Marcelo Mendes Santos;M;24/08/71;100;103;D;13;12;5.838;190;81;1
4750;523502137-14;Luiz V. Sampaio;M;07/08/67;100;103;A;4;9;1.054;166;88;1
4751;546991196-97;José G. Heckmann;M;21/06/63;100;103;E;16;20;3.261;173;67;1
4752;420308550-06;Jânio G. Araújo;M;21/07/65;100;103;C;17;12;6.722;173;83;0
4753;620949738-16;Amauri Bayochi Warwasky;M;25/08/68;100;103;D;14;14;4.687;186;74;1
4754;360387063-80;Romário Camargo;M;21/06/72;100;103;C;16;4;6.547;165;83;1
4755;393861785-32;Diógenes M. Lourenço;M;14/04/64;100;103;C;16;12;8.497;161;74;0
4756;763134238-52;Alexandre M. Faraggi;M;05/12/83;100;103;A;5;5;1.027;158;71;1
4757;660085428-60;Manoel Barros Furkin;M;01/02/66;100;103;D;12;16;5.873;189;80;1
4758;694687765-90;Regina M. Pereira;F;15/10/77;100;103;A;7;4;1.085;154;57;0
4759;558371043-80;Roberta Gouveia Gonçalves;F;28/08/61;100;103;C;16;18;6.539;164;72;1
4760;754443689-60;Benedito Costa Novelli;M;09/11/80;100;103;B;12;8;2.186;167;91;1
4761;878474879-69;Guilherme R. Angelini;M;17/03/57;100;103;C;18;10;7.634;183;68;0
4762;912434103-70;Benedita Araújo Verdinn;F;18/08/67;100;103;B;12;9;2.039;165;70;0
4763;131771155-67;Isabel Pitanga Aroeira;F;16/10/60;100;103;C;16;14;7.383;172;70;0
4764;914220984-60;Luciana Arantes Santana;F;03/07/83;100;103;D;12;4;4.666;164;60;0
4765;256072359-04;Anna Arantes Gomes;F;13/11/74;100;103;C;19;10;8.414;156;70;1
4766;808579961-85;David Andrade;M;27/07/78;100;103;B;12;8;2.033;162;79;1
4767;719570972-80;Donizeti Leite;M;18/04/84;100;103;E;16;5;3.055;171;89;0
4768;999070449-03;Tereza C. Gouveia;F;04/12/54;100;103;A;4;19;1.256;162;66;0
4769;507656205-53;Leonardo Pitanga;M;08/06/63;100;103;D;13;7;4.332;195;79;1
4770;307549383-01;Teresa S. Zarin;F;05/10/74;100;103;B;14;10;2.365;163;60;0
4771;552280083-65;Vera M. Gatty;F;13/04/73;100;103;A;4;0;1.009;153;100;0
4772;777323079-09;Eleno Torres;M;31/08/61;100;103;C;16;19;6.002;158;88;1
4773;792704967-40;Heráclito Gonçalves Pontes;M;25/06/57;100;103;C;17;24;10.266;168;85;0
4774;317520479-15;Ênio Machado;M;12/12/74;100;103;C;19;8;7.917;172;77;1
4775;777662433-00;Ana Almeida Sá;F;10/12/70;100;103;B;13;10;2.502;146;62;1
4776;070644252-03;Glória R. Fozxy;F;27/10/66;100;103;A;4;16;1.147;159;64;0
4777;735454664-00;Dagoberto Sampaio Haddad Pereira;M;11/07/85;100;103;A;5;0;1.001;185;78;1
4778;126887352-76;Fátima Lourenço Santos;F;13/09/60;100;103;C;16;8;7.750;153;65;1
4779;504380323-14;Kátia Z. Oliveira;F;08/02/66;100;103;C;18;13;7.513;166;70;1
4780;151021450-02;Olga G. Gouveia;F;23/12/62;100;103;B;12;9;2.113;161;76;0
4781;170935790-86;Márcia Z. Duarte;F;25/01/65;100;103;A;5;10;1.047;161;69;1
4782;097998586-23;Monalisa N. Marques;F;20/09/67;100;103;B;12;7;2.286;156;70;0
4783;433819271-24;Priscilla Novaes;F;02/07/63;100;103;B;12;13;2.406;165;79;1
4784;779813764-59;Neyde M. Sampaio;F;29/08/58;100;103;C;17;22;6.149;164;58;0
4785;665716610-98;Lúcio Costa;M;21/08/68;100;103;C;16;13;7.082;175;67;0
4786;775348638-13;Victor L. Kalil;M;28/03/77;100;103;C;16;11;6.854;182;67;1
4787;197567144-92;Eufrásia L. Barros;F;29/08/59;100;103;B;12;11;2.220;154;69;0
4788;189528875-49;Leonardo T. Leite;Masc.;04/10/61;100;103;C;16;10;7.894;179;96;0
4789;169064942-95;Anna Barros Santana;F;04/10/69;100;103;D;12;6;5.825;173;71;0
4790;654790653-19;Simone L. Schineider;F;24/08/67;100;103;B;12;0;2.162;148;51;0
4791;072608283-07;Amauri N. Nogueira;M;18/07/76;100;103;B;12;10;2.028;162;90;1
4792;862664308-00;Dora A. Zainne;F;05/04/69;100;103;A;4;16;1.183;169;83;1
4793;953233456-40;Débora Fonseca Souza;F;13/04/72;100;103;B;12;0;2.106;163;62;0
4794;562833721-80;Ivone S. Miranda;F;31/07/60;100;103;A;4;14;1.162;165;75;1
4795;574234558-57;José Vieira Barbosa;M;04/10/74;100;103;C;16;12;6.636;178;69;0
4796;550513303-71;Letícia Santos Marques;F;15/11/61;100;103;A;4;8;1.206;159;82;1
4797;450785039-86;Fabrício T. Leite;M;16/08/58;100;103;C;16;23;8.082;175;81;0
4798;897937504-21;Eustáquio L. Macieira;M;08/01/77;100;103;C;17;7;8.418;172;84;1
4799;784594370-35;Teutônio Seixas;M;26/02/76;100;103;A;4;7;1.099;167;82;1
4800;558550284-02;Sebastião Castro;M;15/03/65;100;103;B;12;8;2.125;165;68;0
4801;198887854-35;Gertrudes Barros Queiroga;F;08/12/67;100;103;B;12;0;1.986;160;69;0
4802;816976429-77;Suzana C. Nogueira;F;08/01/74;100;103;C;22;13;7.695;165;70;1
4803;945366138-46;Florinda Camargo;F;23/08/69;100;103;C;16;11;8.401;171;77;0
4804;613381191-92;Tereza R. Yamamoto;F;06/12/70;100;103;C;16;9;8.074;159;62;0
4805;569717301-60;Renato Gouveia Aramizoni;M;04/04/64;100;103;A;4;12;1.146;158;80;0
4806;828811634-59;Samuel Rosa Guimarães;M;30/04/67;100;103;B;12;17;2.362;166;72;1
4807;897475593-90;Olívia Saldanha;F;04/11/59;100;103;A;6;13;1.115;150;76;1
4808;146976705-82;Eleno S. Aramizoni;Masc.;17/06/60;100;103;C;16;0;6.443;177;74;0
4809;134568222-00;Dirce Medeiros Zarin;F;26/10/59;100;103;C;16;10;6.764;157;49;0
4810;816670759-42;Eva S. Kalil;F;09/05/60;100;103;C;16;20;9.182;157;57;1
4811;230815850-66;Patrícia M. Duarte;F;23/11/71;100;103;D;12;8;5.780;167;69;1
4812;995541192-91;Sebastião B. Alves;M;20/05/64;100;103;E;17;19;3.748;178;105;0
4813;258300099-35;Dorotéia G. Haddad;F;03/06/69;100;103;A;4;9;1.161;167;69;1
4814;385993445-79;Benedito Pinto;M;02/07/62;100;103;A;4;10;1.081;171;105;0
4815;032426178-00;Élida S. Furkin;Fem.;16/10/75;100;103;C;16;4;6.631;164;54;0
4816;634441516-91;Helena S. Mota;F;06/11/75;100;103;B;12;8;2.315;169;75;0
4817;277440716-89;Esmeralda M. Gruginsky;F;04/05/85;100;103;A;4;3;916;166;60;1
4818;111111111-11;Elizabeth Sampaio;F;11/08/62;100;103;B;12;18;2.236;156;68;1
4819;048076322-48;Romário Soares Bayochi;M;04/09/71;100;103;A;5;12;1.173;174;89;1
4820;757534968-57;Amélia C. Costa;F;14/03/74;100;103;B;12;5;2.155;165;69;0
4821;151232465-50;Patrícia A. Torelli;F;21/01/77;100;103;B;17;11;2.228;173;74;0
4822;993056174-92;Olga Cunha Almeida;F;25/03/73;100;103;B;13;12;2.330;176;68;1
4823;015639960-14;Laércio P. Schineider;M;11/09/71;100;103;A;5;0;1.025;166;82;1
4824;618607268-10;Maria Macieira Queiroga;F;03/08/83;100;103;B;12;0;1.920;152;58;1
4825;806233075-37;Marcílio Melo;M;10/06/71;100;103;B;12;9;2.439;178;90;1
4826;921839707-90;Esmeralda Cunha;F;17/05/57;100;103;A;4;11;1.142;153;72;0
4827;037927054-43;Fábio S. Soares;M;17/11/67;100;103;C;16;6;6.859;170;74;1
4828;770185889-01;Dirceu Mendes;M;25/08/81;100;103;C;16;6;5.693;165;88;0
4829;145900663-19;Marlene M. Mancini;F;05/11/63;100;103;B;12;18;2.143;155;65;1
4830;770233893-85;Juscelino Soares Trentti;M;17/01/66;100;103;D;12;13;5.994;177;87;1
4831;453119737-22;Leonel Pereira;M;01/01/68;100;103;C;16;16;8.295;185;85;1
4832;724662256-03;Zélia O. Nogueira;F;06/10/69;100;103;B;14;8;2.177;147;78;1
4833;614350863-17;Manoel Moura;M;12/05/69;100;103;C;16;7;7.314;172;78;1
4834;480334936-31;David R. Nakano;M;18/04/54;100;103;C;16;16;10.218;176;81;1
4835;749373024-50;David A. Uema;M;30/08/68;100;103;D;12;16;6.959;187;72;1
4836;566585278-30;Luciano G. Fonseca;M;24/04/65;100;103;A;4;13;1.124;161;77;1
4837;010566071-06;Glória Marques;Fem.;27/03/71;100;103;D;16;13;5.284;172;78;0
4838;781398554-05;Heleno P. Schineider;M;15/02/78;100;103;A;4;7;1.103;172;85;0
4839;167778182-35;Ricardo Soares;Masc.;03/01/67;100;103;A;4;10;1.164;159;95;0
4840;670254982-20;Jairo A. Sasaky;M;28/02/61;100;103;D;12;11;5.105;187;83;0
4841;435483307-70;Mariane C. Gruginsky;F;07/02/79;100;103;B;12;9;2.136;147;44;0
4842;545762268-19;Leonardo Schineider;M;28/09/64;100;103;D;14;7;5.568;185;82;0
4843;156678793-95;Hugo Novaes;Masc.;20/12/77;100;103;C;16;10;8.194;175;66;1
4844;139963079-26;Olga Pontes;F;19/08/78;100;103;E;17;8;3.248;145;68;0
4845;207461829-88;André Silva Morita;Masc.;12/12/68;100;103;A;6;11;1.151;168;90;1
4846;317170760-84;Marcelo Pereira;M;10/01/62;100;103;A;4;13;1.104;177;95;1
4847;405375217-55;Rui V. Warwasky;M;22/02/82;100;103;A;4;7;1.123;178;92;1
4848;483812600-00;Juvenal Gomes Schineider;M;28/05/79;100;103;A;5;3;971;159;93;1
4849;883717247-80;Damião Santana Pinto;M;09/01/65;100;103;B;14;10;2.324;166;72;0
4850;258400254-02;Luiz B. Novelli;Masc.;26/06/72;100;103;A;5;7;969;177;86;1
4851;576683636-88;Adalberto Fonseca Maia;M;23/05/53;100;103;B;12;23;2.627;178;82;0
4852;821036047-76;Oscar M. Souza;M;14/11/69;100;103;A;8;0;1.017;171;78;1
4853;149546279-07;Rodrigo Gonçalves;Masc.;07/10/86;100;103;C;16;1;8.679;165;77;1
4854;076812902-81;Juscelino Maia;M;11/07/55;100;103;A;4;20;1.158;187;95;0
4855;494962218-82;Patrícia V. Santos;F;15/08/69;100;103;B;12;12;2.147;160;55;0
4856;234686440-43;Abílio B. Bezerra;Masc.;06/01/84;100;103;D;12;1;4.786;168;67;0
4857;90420251-06;Terezinha Mesquita;F;01/06/68;100;103;A;4;11;1.086;164;79;1
4858;002226933-98;Anna P. Campos;Fem.;25/08/78;100;103;B;12;8;2.006;154;59;1
4859;540355420-32;Nilo Pereira Marques;M;16/06/62;100;103;D;12;18;5.703;197;83;0
4860;373830209-36;Fátima P. Lima;F;04/05/57;100;103;C;16;16;6.107;155;85;0
4861;280499476-70;Fabíola L. Torelli;F;20/03/72;100;103;B;12;10;2.025;158;80;0
4862;546157959-04;Mariana Pontes Pereira;F;02/02/80;100;103;A;4;5;1.064;151;62;0
4863;255220544-50;Marcondes P. Torelli;Masc.;09/07/80;100;103;B;12;3;1.926;176;69;1
4864;630401336-16;Amaro A. Teixeira;F;17/05/68;100;103;D;12;14;5.558;189;75;1
4865;136673210-31;Gervásio Sá Silva;Masc.;19/04/83;100;103;D;12;7;5.836;183;85;0
4866;653339230-19;Almir Werneck Warwasky;M;25/08/68;100;103;A;4;14;1.162;151;74;0
4867;591350925-05;Dorotéia M. Barbosa;F;27/04/67;100;103;B;12;0;1.835;161;66;1
4868;312855169-31;Laércio A. Aramizoni;M;01/04/60;100;103;E;16;17;3.249;168;65;1
4869;939584977-05;Pedro Maia;M;24/06/69;100;103;A;4;10;1.092;159;68;1
4870;674837583-50;Amauri Pitanga;M;05/06/68;100;103;B;12;11;2.065;166;81;1
